content,score
"Bos, kenapa kebijakan gratis ongkir nya berubah lagi, biasa nya cukup belanja minimal 50k udah bisa dapet promo gratis ongkir 40k kl pengiriman antar pulau, lah sekarang cuma dapet maksimal 20k, kl mau dapet 40k belanja nya harus 100k, jangan kyk gitulah cara main nya, ini lama2 bisa saya uninstall aja aplikasi tokped nya..",1
"Penggunaan mudah, belanja bebas ongkir dgn minimal pembelian 20 ribu, setiap akhir bln, pertengahan bln, kekurangannya tdk bisa lagi memakai lebih dr satu promo",5
josss,5
Saya berikan bintang 1 karena saya kecewa saya beli hendpond nominal 20 jt barang ga di terima dan pengembalian dana ke saya terbilang cukup di persulit tolong pihak Tokopedia jangan merugikan konsumen,1
bagus,5
yang kurang hanya mode gelap,5
terbaik,5
"Turunin bintang nya dulu deh, kok makin kesini makin pelit gratis ongkir ya sekarang.",1
Kayaknya lebih rame di team orange dah sekarang,5
Mntap,5
good,5
manjurrr,5
"Jujur gue paling betah belanja di tokopedia dibanding marketplace yg lain. . tp untuk kecepatan ekspedisibya kacau banget deh... kalah sama lazada dan shoppe yang walaupun gratis ongkir tp oke banget ekspedisinya.. Plis buat tokopedia tingkatin lah kualitas ekspedisinya, biar bisa bersaing sama lazada dan shoppe yg oke banget... kalo gini terus gue makin males bual belanja di sini...",1
ssngat terbantu,5
Lokasi map nya ga nyambung salah melulu kalo pesen di sini...ga sesuai kasian driverrr,3
Abis di update hp jd luemoot...amplikasi jg lemot bgt buka pesenan gk bisa..tolong perbaiki min..payah,3
proses transaksi mudah dan banyak pilihan,5
Tidak bisa melakukan pencarian produk dengan gambar,2
makin mantul Tokopedia semakin lengkap sukses terus Tokopedia,5
keren,5
"Sudah 2x istri sy isi emoney saldo tidak masuk, lumayan, jumlahnya besar, klo ky gini cust yg di rugikan,penanganya lama,repot klo mau kerja emoney g lasung isi saldonya kapook g mau lg pake isi emoney di toped, sistem jelek , beralih ke tempat lain jdnya...!!!",1
sangat2 membamtu konsumen dengan program ini,5
puas bgt pake Tokopedia apa2 mudah transaksi nya ✌️✌️,5
Bikin komplain. G ada jalan tengahnya tetep yg ngalah pembelinya padahal jelas yg salah penjual.g kyk shope.auto uninstall,1
top markotop,5
Gk tau ini fungsi tokopedia apa ? Sudah ongkir mahal gk bisa cod pdahal rumah ku kota ..q kira penjual yang non aktifkan cod sampai chat ke penjual ternyata dari tokopedia sendiri yang mepersulit sistim cod auto unistal 😂,1
mantef ceoat,5
"CASHBACK MAKIN SULIT, GAK BISS GABUNG DG GRATIS ONGKIR LAGI, Biaya APALAGI TINGGAL DILUAR PULAU JAWA, Waktu Pengiriman Makin Lelet, MAU BANGKRUT YA INI, CARI SOLUSI YG LEBIH BAIK LAH GK GINI CARANYA KALAU INGIN KONSUMEN PUAS, makin parah sekarang buat yg diluar pulau jawa gak usah pke tokped, potongan ongkir cuma 20k",1
Kenapa harus si cepat....kenyataanya LELET....di tempat kami,1
Kurir rekomendasi yang tidak rekomendasi. Selalu saja di handover. Alhasil biasanya 3 hari bisa sampai seminggu. Seharusnya dapat kompensasi. Atau tidak usah pakai kurir rekomendasi kalau oper sana oper sini. Makin dagelan saja nih,2
"cepat,tidak berat di Aplikasi",5
mantap responsif,5
mantap,5
sering error,4
wow bs pakai gopay dn gopay coin bro. MANTAP,5
Pengiriman nya sangat lambat dan tidak sesuai,1
rekomended banget,5
Mohon untuk COD nya ditambah,5
good,5
skuy,5
Tokopedia beneran gratis ongkir dan murah banget...,5
Thx tokped.,1
ok,5
"udh lemot, di persulit sistem oh simtem otomatis di batalkan",1
Udah 7thn selalu belanja di Tokopedia ... terima kasih...Tokopedia semakin maju,5
good,5
Refund Lama,2
"Makin ke sini makin kacau tokped ini,saya sebagai penjual dan pembeli,no hp pembeli di samarin,ngk bisa di hub..jadi terhambat di pengiriman produk..alasan nya demi privasi dan keamanan pembeli,kenapa ngk di tutup saja sekalian tokped ini",1
sangat membantu saya,5
mantapp,5
sangat puas,5
Tokopedia gimana sih.batalin pesananseenaknya aja.pdahal situ sendiri yg bikin promo tp eh d batalin..... Coba dong konsekuen kayak di shopee,1
good,5
mantap,4
terimakasih,5
Good,5
praktis,5
"Beda sama SEBELAH, fitur COD banyak gak bisa nya.",1
Sekarang brisik banget ya bunyi notif mulu ganggu sumpah mending uninstall,1
"mantap sekarang bosque, lebih mantap lagi COD, saya pengguna COD jujurly",5
"Coba diadain pembayaran dgn e-wallet Dana,, sya kira byk yg memakai Dana bgtu jg sya sendiri",4
moga lebih baik lagi,5
mantap 👍😍😍😍😍😍,5
"Ini Tokopedia makin kesini bukan nya makin bagus malah makin parah engga kaya app yg Laen, gabener bnget sekarang parah. Barang rusak lah barang delay lah pas mau nanya Ama costumer care nya, blom dijawab disuruh ajukan komplain. Apaan mah maksud nya kaya gitu Udh saya uninstall app nya ka mkasih",1
"Toko online yang lebih berpihak ke penjual bukan pembeli, padahal yg memberi bintang adalah pembeli, yang membesarkan nama Tokopedia adalah pembeli, apakah akan ada gunanya kalau banyak penjual tapi gak ada yang BELI!!!!!! Pengajuan komplain saya terasa sulit sekali dan lama sekali penanganan nya",2
Duit penjualan gak bisa ditarik woy! Udah dr kemaren. Ini uang muter buat jualan. Error kok gak cepet dibenerin. Jangan bilang mau pake dana penjual yg gabisa ditarik. Ada brp juta kalo ditotal dr semua penjual.,1
ok,5
sangat membatu gk ribet,5
sangat membantu,4
Terima kasih tokopedia.,5
ok,5
Sangat mudah dan bisa dipercaya,5
Mantap 👍,5
Toko pedia tidak dapat di update,2
aplikasi bagus mudah di gunakan lengkap deh,5
"Jika tidak ada perubahan gratis ongkir untuk luar pulau Jawa di pastikan server Tokopedia untuk luar pulau Jawa akan turun drastis, biasanya belanja dr bekasi kirim ke medan gratis ongkir alias ongkir 0 rupiah. Sekarang jadi 11 ribu, ah sudah lah. Terimakasih Tokopedia telah menemani selama 3 tahun hingga menjadi member Diamond",1
proses mudah,5
"Tokopedia Mau Belanja Aja Pusing Mau Pesan Barang Satu Saja Ongkir Nya Mahal Banget, Sekali Nya Mau Free Ongkir Sekarang Harus Berlangganan ,Tapi Memang Saya Selalu Pesan Di App Tokopedia Barang Nya Bagus Dan Memuaskan Cuma Pusing Nya Di Ongkir Mahal Kalau Bisa Yang Minimal Belanja 20k Bebas Ongkir Di Buat Sering2 Biar Saya Enak Belanjaan Di Tokopedia Terima Kasih.",4
"sayang apk ini,gratis ongkir masih banyak yg tidak terpenuhi, contohnya pengiriman keluar pulau jawa atau sumatera pada umumnya",3
"Sangat memuaskan, kalau bisa mudahkan mengirim paket kurir sendiri",5
Akan lebih baik kalau bisa sortir barang / toko dengan rating minimal 4.8. Karena biasanya rating toko/barang dibawah 4.8 banyak komplain.,4
Jaminan toko pedia bt expedisi next day adalah zonk.. toped punya beribu ribu alasan saat kita mengklaimnya.. tp toped tidak bs membuktikan nya 👎👎👎,1
"APLIKASI MANTAP, SAYA BERJUALAN DISINI, ALHAMDULILLAH UNTUNG",5
"mudah digunakan, aman, terjangkau",5
Lumayan,4
sedikit banget promonya,2
Ok bgt,5
bagus sekali,5
sangat bagud,5
good,5
"dari dulu selalu memakai tokped dibanding yg lain, aplikasiny simpel mudah di gunakan, sering dpt gratis ongkir dan proses komplain cepat dan tanggap apabila ada kendala di pesanan",5
cukup memuaskan,5
"Pake toko ijo itu kebanyakan drama.. Ketika ada promo toko dan taptap dr program mereka customer dbilang ""pelanggaran pemanfaatan promo"" Kocak kan!! Takut ngasih untung DOUBLE cashback ke customer? Takut RUGI gitu. Kecewa bgt!! Kocak bgt!! Lucu aja pas komplain dblg bgtu. PELAYANAN ANDA TERBURUK UNTUK CUSTOMER, BIKIN CUSTOMER MERASA HAK NYA GA DIKASIH DAN HARAPAN PALSU DOANG!! Kl takut rugi tutup tuh aplikasi!!!!",1
saya paling nyaman belanja online pakai tokopedia,5
bagus,5
nice,5
"proses cepat,tidak ribet",5
"pertama pengguna, semoga baik",5
Sippppppp aplikasinya Bagus,5
membantu urgenitas,5
belanja aman,5
belum ada paylater nya,5
Rugi bgt skrg belanja ditokopedia.mau ngisi gopay ada biaya admin.mau belanja 1 transaksi harus bayar biaya asuransi wajib.dan ada juga biaya transaksi.klw 10x transaksi udh 10rb+biaya asuransi udh brpa itu.mkin kesini mkin nyusahin.gk ada cashback juga skrg.masa harus pilih mau pake vocer gratis ongkir/cashback.gak bisa disatuin.bakalan kalah saing jauh bgt dari aplikasi sebelah.parah si tokped makin parah bakal ketinggalan sm aplikasi sebelah,1
"Setelah pesanan tiba dirumah dan saya minta retur (barang tidak sesuai dengan pesanan). Saat retur memang gratis biaya ongkir. tetapi setelah terjadi retur, besoknya saya di teror oleh kurir mengakatan paket kiriman COD atas nama saya, padahal saya tidak pernah sama sekali beli barang COD. Setelah di cek nomor hp tidak sesuai pakai Indosat sementara keluarga sama sekali tidak pakai kartu Indosat 3 hari saya di teror kiriman COD sama kurir yang berbeda, setelah barang saya diterima untuk retur",5
